Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6977_v5_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6978_nls_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6979_nes_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6980_mt-MAFG_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6981_MAFG-mt_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6982_v5_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6983_nls_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6984_nes_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6985_mt-MAFG_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6986_MAFG-mt_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6987_v5_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6988_nls_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6989_nes_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6990_mt-MAFG_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6991_MAFG-mt_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6992_v5_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6993_nls_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6994_nes_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6995_mt-MAFG_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6996_MAFG-mt_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6997_v5_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6998_nls_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6999_nes_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7000_mt-MAFG_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7001_MAFG-mt_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7002_v5_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7003_nls_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7004_nes_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7005_mt-MAFG_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7006_MAFG-mt_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7007_v5_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7008_nls_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7009_nes_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7010_mt-MAFG_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7011_MAFG-mt_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7012_v5_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7013_nls_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7014_nes_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7015_mt-MAFG_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7016_MAFG-mt_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7017_v5_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7018_nls_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7019_nes_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7020_mt-MAFG_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7021_MAFG-mt_sulf_3.raw
A6NNY8;Q9UPT9	UBP22_HUMAN;UBP27_HUMAN	USP22;USP27X	Ubiquitin carboxyl-terminal hydrolase 27	1	0		8190.75		28566.5	28624.5		14183.5		40317.5	28209.4				21212.3	17034.8				31576.7	19939.2		18139.7		39575.8	18956.2		12161.7		21604.3	17248.5				14921					22449.5	14138.7				32317.7	18330.5
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	3	1						12726				14779				7422.59	17219.1			13488.9	8689.23	7808.73		10256.7		15230.8	16133.6			10256.5	15852.2	21529.7				22057.5	24544.2			12165.1				14699.9			8212.98
A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1	2	2					14883				17388.3	9587.44									11368.1	15468.5				10654.5	11392.8				14609.8	12948														14939.5	11494.9
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	7078.45	6888.54		5487.48	3838.08		2690.08		3661.54	5225.58				4808.82		18855.7			8199.73	5493.85	15217.3	12199.7		5924.52	7176.48	16982.5	17283.6	7201.13	10384.5	9286.51	4740.15							5212.03	4505.77		6429.12	10422.6	6978.23		12354.7
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	3	3					7135.12		108600		14772	17210.4						55061.7			11652.1	12299.4	44882	17013.5		10964.4	19610.3	29538	33243.9	9390.26	11054.2	14933.5														10551.2	24179.4
G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	1	0					9824.24					3520.07				12493.3	26960.6				10277	11713.2					9473.32				16199.4	25587.8														5146.79	10639.3
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	3	3	7319.94			6538.86					4703.13	3447.29				9324.54	5988.18	4476.2			3954.01		8044.46	6337.47			3089.88		8633.02	8381.66	8016.52												6437.32				3087.59
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	4	4			7637.64	9090.36	7892.7	6341.62			11278.4	8127.94				9082.9	9855.73	9885.31		8759.07	12303.6	13355.9	8304.02	12592.1		12639.9	11077.9	8520.7	10731.3	9311.47	10000.1	11014.8					10663.8									10607	12146.7
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	3	3	14223.6			21137.4	10839.9				12639.4	7690					20384.7	11650.4		13715.2	19569.8	29602.4	10947.3	16481.2		23238	13306	11327	12631.5	10965.6	11646.8	12278.4									24993.5				5886.2	10843.5	17625.8
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	3	3	44018.6	53082.7	46738.1	52125.9	62446.1	78332.1	612224	98790.8	65379.4	81179.3				69855	47381.2	57735.8		40265.1	44896.7	46990.4	26680.1	28833	72046	46086.7	63334.5			67209.6	46217.4	50081	75779.8	53022.6	72663.4	84052.1	55881.8			64304.9	103210		54192.7		85545.8	68003.2	124546
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	6	6	52237.3	68598.4	56957.6	93023.4	98167.7	88020.6	127595	97270.7	109327	100462	112703	98036.7	110971	82645.2	75915.6	77898.9	87669.9	158008	94855.7	89457.9	85407.4	164833	159963	96149.7	108970	64618.4	71219.8	117476	94409.4	104661	98848.1	69535.8	92950.5	73749.1	64877.6	82662.1	61861.7	85146.8	91072.2	66832.1	97365.6	144842	67393.4	95043.8	132175
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2	2										1274.38						2675.84			1793.27	1353.67		1968.77		2463.9						2081.09														2551.74	2733.57
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2	2														3283.91						2138.35					2522.55			4190.97		2436.15															
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2	2																14676.4						9114.41																							
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3	3			26736.5	23209.3	115886		26624		26719.9	109642				20964.8	95078.7				21727	123416		18460.6		21671.3	169761			19236.7	24452.8	99436.2					113470					183044	17391.3		30958.9	28845.1	88248.4
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	4	4	20044.8		15518.6	31787.9	27569.4	16187.1	33497.5		16928.1	13338		34227.1		21503.4	21672.8	19081	29599.4	20456.2	25829.6	25187.2	18293.2	21835.9	11597.1	17524	26770.4	28506.5	21569.2	17200.1	22572.7	20297.2	31646				17391.6	26226.1	17829.4				22051.8		19488.5	26097.6	28065.8
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	3	3		3482.4		5155.88	3464.61				2904.12					3525.73				5233.69	2802.96	3378.92		3561.16		4104.82	2308.53		3971.44	5617.96	4974.21	3594.83									4009.57					4185.93	3082.29
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2	2		5603.37		13772.2	24730.5				21351.3	36415				15670.2	19660.9				24118.4	25123.7		19986.3		29596.6	41789.5		7842.39		25223.5	28556.9				32174.2	10635.7				19520.2	40730				27163.6	25040.7
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	5	5	5865.92	3655.9		5145.56	5103.43	7840.19	4653.52		7808.76	7105.73				5607.82	6365.3	6226.74		10621	5771.84	5638.99	6028.6	7782.01	14585.1	5477.34	6711.7	4482.52	5345.87	8562.88	5585.91	7441.7						12835.8					6486.46		6562.8	11180.6	9043.85
O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1	7	7	39061.6		41291.6	92520.7	77748.4	42876.3		43198.4	75094	118211	34222.5			57385.5	109133	21473.7		76729.7	72308.9	104664		20516.2	69058.5	73872.9	100226	24735		46436.5	66974.7	73772	41039.4		45376	51620.4	58197.7			61342.9	76746.6	92176.6	37423.4		42938.6	90257.6	108394
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3	3					30818.1		215525			8628.51						62363.2					55486.1	27296				58721.2	55518.9	32987.9																	
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	4	4	22859.4	18535.1	14543.3	25360.2	16231.3	25606.9	34968.2		17062.7	9364.96	14349.3	36503.9		11837.2	12747.1	39653.9	13793	17171.2	10145.3	14678.4	22738.7	20383.2	21419	8480.29	7511.76	38518.6	32821.1	20172.3	17424.6	14632.2	12150.5		13868.1	18605		18339.6	18421.8	14263.2	13625.3		17347.8	18648.5	18399.9	15534.1	21069.8
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	3	3			10355	16943	20473.4	9889.48	10766	18890.7	13435.6	3927.38	12888	8178.11	153526	14896.2	19797.5		12685	7765.81	10618.3	13527.7		7208.58	7578.04	4687.99	7722.46			22612.8	16278.6	19983	4237.56		16628.4	17381.4		7181.24	5992.12	15625.5	10418.9	19114.5	12438.5	7594.39	8346.47	14129.9	13476.9
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	3	3	115127	92676.9	63969.7	96220.5	111514	112967	73873.8	215426	67023.1	42332.4	248055	188745	85956	71069.7	67700.3		109835	128582	50886.6	88646.6		103487	102959	67467.1	60246			125133	94688	95540.8	204400	105650	206036	113315	94009	84243.5	128915	95674.8	131843	114700	114447	161216	104066	118037	52343.9
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	3	3				46361.7	24292.1				49102.5	26883.2				16962.8	30322.5				38353.6	28303.4				23764.6	23694				30227.8	21056.8				22132.4					34914.1					28068.2	18952.4
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	11	11				16848.8	11777.2				21383.7	11180.1				16210.5	9080.1	7918.95			19174.6	12436.9	8317.51	11231.3		20447.5	12141.1	10485.6	14030.9		17630.8	12098.5				18036.3					16347					22595.8	12322.1
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	9	8				27499	30252.6				34109.4	30711.7				26638.7	41613				35819.2	47023.7		6252.61		44539.3	49787.4				32149.8	41281.8				24405.6	27554.4				31700.4	39103.4				42087	30929.7
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	2	2				18094.2	11559.3				11752.6	12258.1				12638.7	18033.4				10520.2	19165.8		10008.5		11576.1	13394.7			9355.51	13370.2	16138														14552.9	22061.5
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	2	2	59244.8	63304.4	51383.4	43991.7	52016.3	47802.5	432652	66119.8	35990.3	36706.1	58112.9		281233	46033.5	48662.3	65573.7		35581.5	24277.4	31374.2	67785.2	35497.8	29887.6	28341.8	34479	54541.4	91807.1	50478	39007.9	29692.1	67127.4	54479.2			61647.3	52312.5	57339.2	41197.2		65838	43649.7		65881.4	36711.3	130462
